placeid,name,norm,trainline,joinkey,latitude,longitude
1353,FORNACI DI BARGA,FORNACI DI BARGA,,FORNACI DI BARGA,44.045228,10.473349
1354,FORNOVO,FORNOVO,,FORNOVO,44.69344,10.102275
1355,FORTE DEI MARMI-SERAVEZZA-QUERCETA,FORTE DEI MARMI SERAVEZZA QUERCETA,,FORTE DEI MARMI SERAVEZZA QUERCETA,43.977746,10.199475
1356,FORTEZZA,FORTEZZA,FORTEZZA FRANZENSFESTE,FORTEZZA FRANZENSFESTE,46.788718,11.61008
1357,FOSCIANDORA-CESERANA,FOSCIANDORA CESERANA,,FOSCIANDORA CESERANA,44.118787,10.443973
1360,FOSSALTA DI PIAVE,FOSSALTA DI PIAVE,,FOSSALTA DI PIAVE,45.624085,12.500426
1362,FOSSANO,FOSSANO,,FOSSANO,44.550584,7.717913
1363,FOSSATO DI VICO GUBBIO,FOSSATO DI VICO GUBBIO,,FOSSATO DI VICO GUBBIO,43.283932,12.756987
1364,FRAGNETO MONFORTE,FRAGNETO MONFORTE,,FRAGNETO MONFORTE,41.247318,14.764863
239,FRAMURA,FRAMURA,,FRAMURA,44.201901,9.555146
64,FRANCAVILLA ANGITOLA-FILADELFIA,FRANCAVILLA ANGITOLA FILADELFIA,,FRANCAVILLA ANGITOLA FILADELFIA,38.7781,16.2153
1366,FRANCAVILLA FONTANA,FRANCAVILLA FONTANA,,FRANCAVILLA FONTANA,40.523282,17.584752
1367,FRANCAVILLA AL MARE,FRANCAVILLA AL MARE,,FRANCAVILLA AL MARE,42.421327,14.287958
1370,FRASCATI,FRASCATI,,FRASCATI,41.806896,12.677909
1371,FRASSO TELESINO-DUGENTA,FRASSO TELESINO DUGENTA,,FRASSO TELESINO DUGENTA,41.13711,14.459355
1372,FRATTA,FRATTA,,FRATTA,45.038824,11.642289
5446,FRATTA TODINA,FRATTA TODINA,FRATTA TODINA MONTECASTELLO VIBIO,FRATTA TODINA MONTECASTELLO VIBIO,42.849336,12.385154
1373,FRATTAMAGGIORE-GRUMO,FRATTAMAGGIORE GRUMO,,FRATTAMAGGIORE GRUMO,40.94021,14.263606
1375,FRATTE,FRATTE,,FRATTE,40.6994,14.7756
1376,FRATTE CENTRO,FRATTE CENTRO,,FRATTE CENTRO,45.5859,11.9065
1377,FROSINONE,FROSINONE,,FROSINONE,41.62526,13.328593
240,FRUGAROLO BOSCOMARENGO,FRUGAROLO BOSCOMARENGO,,FRUGAROLO BOSCOMARENGO,44.841816,8.682599
3518,FUNO CENTERGROSS,FUNO CENTERGROSS,,FUNO CENTERGROSS,44.593345,11.370922
1381,FURCI,FURCI,,FURCI,37.963028,15.382071
65,FUSCALDO,FUSCALDO,,FUSCALDO,39.409266,16.011505
66,PM GABELLA GRANDE,PM GABELLA GRANDE,GABELLA GRANDE,GABELLA GRANDE,39.146389,17.109722
1386,GAGGIANO,GAGGIANO,,GAGGIANO,45.4087,9.03113
3162,GAGGIO PORTA EST,GAGGIO PORTA EST,,GAGGIO PORTA EST,45.545222,12.3211
1388,GAGLIOLE,GAGLIOLE,,GAGLIOLE,43.220234,13.074612
