"country","name","url","lon","lat","h3","population"
"GB","Amberley","https://www.realtimetrains.co.uk/search/simple/gb-nr:AMY",-0.542446,50.896507,612934460322611199,38
"IT","Ambivere Mapello","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=424&arrivals=False",9.55026,45.7222,613045426228035583,970
"FR","Amboise","https://www.garesetconnexions.sncf/fr/gares-services/amboise/horaires#main-content",0.981299,47.42148,612919187817365503,512
"FR","Ambronay - Priay","https://www.garesetconnexions.sncf/fr/gares-services/ambronay-priay/horaires#main-content",5.3382579,46.0115941,613044878735048703,76
"FR","Ambérieu-en-Bugey","https://www.garesetconnexions.sncf/fr/gares-services/amberieu-bugey/horaires#main-content",5.342388,45.954008,613044926334107647,1351
"IT","Amendolara Oriolo","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=9&arrivals=False",16.602941,39.93385,613600370226102271,667
"GB","Amersham","https://www.realtimetrains.co.uk/search/simple/gb-nr:AMR",-0.60613,51.67439,612935790453850111,1188
"FR","Amiens","https://www.garesetconnexions.sncf/fr/gares-services/amiens/horaires#main-content",2.312592,49.890746,612934401946288127,3509
"FR","Amifontaine","https://www.garesetconnexions.sncf/fr/gares-services/amifontaine/horaires#main-content",3.9105811,49.4847322,613047390642896895,230
"FR","Amilly Ouerray","https://www.garesetconnexions.sncf/fr/gares-services/amilly-ouerray/horaires#main-content",1.3892882,48.4381825,613047419088666623,8
"GB","Ammanford","https://www.realtimetrains.co.uk/search/simple/gb-nr:AMF",-3.9967829999999998,51.795933,612935575420272639,467
"IT","Amorosi Melizzano","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=427&arrivals=False",14.479257,41.192798,613026331831042047,95
"FR","Amplepuis","https://www.garesetconnexions.sncf/fr/gares-services/amplepuis/horaires#main-content",4.326844,45.970982,613044808295907327,659
"IT","Anagni-Fiuggi","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=428&arrivals=False",13.095988,41.710316,613026137315999743,89
"GB","Ancaster","https://www.realtimetrains.co.uk/search/simple/gb-nr:ANC",-0.535596,52.987888,612934011112652799,646
"FR","Ancenis","https://www.garesetconnexions.sncf/fr/gares-services/ancenis/horaires#main-content",-1.1777630000000001,47.369334,612919345244274687,673
"FR","Anchamps","https://www.garesetconnexions.sncf/fr/gares-services/anchamps/horaires#main-content",4.6702434,49.9307448,613046078643634175,262
